282	3109	3109	220
283	1660	1660	39
284	1699	1699	7
285	1704	1704	5
286	1785	1785	17
287	1503	1503	22
288	1829	1829	14
289	14712	14712	14
290	14729	14729	3
291	14782	14782	5
292	13251	13251	40
293	13305	13305	10
294	13694	13694	70
295	13030	13030	3
296	13384	13384	33
297	12592	12592	18
298	13037	13037	58
299	237	237	42
300	300	300	79
301	191	191	53
302	869	869	26
303	1252	1252	109
304	11278	11278	39
305	11305	11305	72
306	11539	11539	52
307	12425	12425	66
308	7158	7158	17
309	7675	7675	85
310	6756	6756	57
311	6842	6842	118
312	7218	7218	60
313	7321	7321	62
314	7600	7600	77
315	1925	1925	130
316	1986	1986	124
317	1986	1986	124
318	2216	2216	139
319	2353	2353	172
